Person_id,Family_Number,Person_Number,Gender,Age,Nationality_Type,Trips_Done,Occupation_Status,License_Type
2124703,21247,3,Male,34,Saudi,Yes,Full Time Employed,Car Only
2124704,21247,4,Male,14,Saudi,Yes,Student - Primary School,No License
2023101,20231,1,Male,65-74,Saudi,nothing,Retired,Car Only
2023102,20231,2,Female,55-64,Saudi,nothing,Retired,No License
2023103,20231,3,Male,27,Saudi,Yes,Full Time Employed,Car Only
2023104,20231,4,Female,18-24,Saudi,nothing,Student - University: Full-Time (does not work),No License
2059501,20595,1,Male,27,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2059502,20595,2,Female,25,Non-Saudi Arab,housewife,Unemployed,Car Only
2058901,20589,1,Male,34-44,Saudi,Yes,Self-Employed (own business),Car Only
2059401,20594,1,Male,45,Saudi,Yes,Self-Employed (own business),Car Only
2266801,22668,1,Female,30,Saudi,Yes,Refused to Answer,Car Only
2028201,20282,1,Male,52,Saudi,Yes,Full Time Employed,Car Only
2028202,20282,2,Female,44,Saudi,Yes,Full Time Employed,Car Only
2028203,20282,3,Female,21,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2028204,20282,4,Male,20,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2028205,20282,5,Male,14,Saudi,Yes,Student - Primary School,No License
2059601,20596,1,Male,45-54,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2059602,20596,2,Female,25-34,Non-Saudi Arab,housewife,Unemployed,No License
2123701,21237,1,Male,47,Saudi,Yes,Full Time Employed,Car Only
2123702,21237,2,Female,41,Saudi,Yes,House Person,Car Only
2123703,21237,3,Male,19,Saudi,Yes,Student - College: Full-Time (does not work),Car Only
2123704,21237,4,Male,16,Saudi,Yes,Student - Secondary School,No License
2123705,21237,5,Female,11,Saudi,Yes,Student - Elementary School,No License
2123706,21237,6,Male,9,Saudi,Yes,Student - Elementary School,No License
2123707,21237,7,Male,1,Saudi,nothing,Child not at nursery,No License
2437601,24376,1,Male,75,Saudi,Yes,Retired,Car Only
2437602,24376,2,Male,30,Saudi,Yes,Full Time Employed,Car Only
2437603,24376,3,Female,60,Saudi,housewife,Unemployed,No License
2081101,20811,1,Male,35,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2081102,20811,2,Male,25-34,Non-Saudi Arab,Yes,Unemployed,Car Only
2034401,20344,1,Male,27,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2034402,20344,2,Male,62,Non-Saudi Arab,staying at home,Unemployed,No License
2034403,20344,3,Male,23,Non-Saudi Arab,Yes,Full Time Employed,No License
2034404,20344,4,Female,55,Non-Saudi Arab,Home Errands,Unemployed,No License
2034405,20344,5,Female,24,Non-Saudi Arab,staying at home,Unemployed,No License
2034406,20344,6,Male,20,Non-Saudi Arab,Yes,Unemployed,No License
2023201,20232,1,Male,41,Saudi,Yes,Full Time Employed,Car Only
2023202,20232,2,Female,34,Saudi,nothing,House Person,No License
2023203,20232,3,Female,12,Saudi,nothing,Student - Elementary School,No License
2023204,20232,4,Male,11,Saudi,nothing,Student - Elementary School,No License
2023205,20232,5,Female,7,Saudi,nothing,Student - Elementary School,No License
2023206,20232,6,Female,3,Saudi,child,Child not at nursery,No License
2029201,20292,1,Male,31,Saudi,Yes,Full Time Employed,Car Only
2029202,20292,2,Female,26,Saudi,Yes,Full Time Employed,Car Only
2029203,20292,3,Male,4,Saudi,nursery child,Child at nursery,No License
2029204,20292,4,Male,1,Saudi,nursery child,Child at nursery,No License
2097501,20975,1,Male,35,Saudi,Yes,Full Time Employed,Car Only
2097502,20975,2,Male,30,Saudi,Yes,Full Time Employed,No License
2097503,20975,3,Female,25-34,Non-Saudi Non-Arab,Yes,House Person,No License
2097504,20975,4,Female,2,Saudi,Not being at home,Child not at nursery,No License
2097505,20975,5,Female,4,Saudi,Not being at home,Child not at nursery,No License
2437701,24377,1,Male,50,Saudi,Yes,Refused to Answer,Car Only
2437702,24377,2,Female,47,Saudi,housewife,Unemployed,Car Only
2130201,21302,1,Male,39,Saudi,Yes,Full Time Employed,Car Only
2130202,21302,2,Male,30,Saudi,Travel a week,Unemployed,Car Only
2130203,21302,3,Male,34,Saudi,travel,Full Time Employed,Car Only
2130204,21302,4,Female,58,Saudi,travel,House Person,No License
2268901,22689,1,Male,42,Saudi,Yes,Full Time Employed,Car Only
2268902,22689,2,Female,37,Saudi,Yes,Full Time Employed,Car Only
2268903,22689,3,Male,1,Saudi,no,Child not at nursery,No License
2000201,20002,1,Male,58,Saudi,Yes,Retired,Car Only
2000202,20002,2,Female,49,Saudi,Yes,Full Time Employed,No License
2000203,20002,3,Male,26,Saudi,Yes,Full Time Employed,Car Only
2000204,20002,4,Female,24,Saudi,Yes,Full Time Employed,Car Only
2000205,20002,5,Male,19,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2000206,20002,6,Female,13,Saudi,Yes,Student - Primary School,No License
2000207,20002,7,Female,10,Saudi,Yes,Student - Elementary School,No License
2437801,24378,1,Male,40,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2437802,24378,2,Female,38,Non-Saudi Arab,housewife,House Person,No License
2437803,24378,3,Male,8,Non-Saudi Arab,He doesn't study,Student - Elementary School,No License
2437804,24378,4,Female,13,Non-Saudi Arab,P home with her mother,Student - Primary School,No License
2123801,21238,1,Male,42,Saudi,Yes,Full Time Employed,Car Only
2123802,21238,2,Female,34-44,Saudi,nothing,House Person,No License
2123803,21238,3,Female,20,Saudi,Yes,Student - University: Full-Time (does not work),No License
2123804,21238,4,Male,17,Saudi,Yes,Student - Secondary School,No License
2123805,21238,5,Female,15,Saudi,Yes,Student - Primary School,No License
2123806,21238,6,Female,12,Saudi,Yes,Student - Elementary School,No License
2123807,21238,7,Female,11,Saudi,Yes,Student - Elementary School,No License
2081201,20812,1,Male,40,Saudi,Yes,Full Time Employed,Car Only
2081202,20812,2,Female,30,Saudi,Yes,House Person,No License
2081203,20812,3,Male,12,Saudi,Yes,Student - Elementary School,No License
2081204,20812,4,Male,10,Saudi,Yes,Student - Elementary School,No License
2081205,20812,5,Female,5,Saudi,no,Child not at nursery,No License
2081206,20812,6,Female,3,Saudi,no,Child not at nursery,No License
2028501,20285,1,Female,62,Saudi,Yes,House Person,No License
2028502,20285,2,Male,29,Saudi,Yes,Full Time Employed,Car Only
2028503,20285,3,Male,25,Saudi,Yes,Full Time Employed,Car Only
2028504,20285,4,Female,22,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2311601,23116,1,Male,37,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2311602,23116,2,Female,36,Non-Saudi Non-Arab,Home Errands,Unemployed,No License
2311603,23116,3,Male,2,Non-Saudi Non-Arab,no,Child not at nursery,No License
2311604,23116,4,Female,<=5,Non-Saudi Non-Arab,no,Child not at nursery,No License
2054301,20543,1,Male,54,Saudi,Yes,Full Time Employed,Car Only
2054302,20543,2,Female,53,Saudi,Yes,Unemployed,No License
2054303,20543,3,Male,19,Saudi,Yes,Student - College: Full-Time (does not work),Car Only
2054304,20543,4,Female,18,Saudi,Yes,Unemployed,No License
2054305,20543,5,Male,13,Saudi,Yes,Student - Primary School,No License
2110801,21108,1,Male,45,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2110802,21108,2,Female,42,Non-Saudi Arab,homework housewife,Unemployed,No License
2110803,21108,3,Male,22,Non-Saudi Arab,Yes,Unemployed,Car Only
2110804,21108,4,Male,17,Non-Saudi Arab,No reason to get out,Student - Secondary School,No License
2110805,21108,5,Male,16,Non-Saudi Arab,No reason to get out,Student - Secondary School,No License
2110806,21108,6,Female,14,Non-Saudi Arab,No reason to get out,Student - Primary School,No License
2110807,21108,7,Female,9,Non-Saudi Arab,Have a reason to get out,Student - Elementary School,No License
2023301,20233,1,Male,45,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2023302,20233,2,Male,44,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2023303,20233,3,Male,43,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2023304,20233,4,Male,49,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2013901,20139,1,Male,55-64,Saudi,Yes,Retired,Car Only
2013902,20139,2,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2013903,20139,3,Female,18-24,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2013904,20139,4,Female,18-24,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2013905,20139,5,Female,16-17,Saudi,Yes,Student - Secondary School,No License
2148401,21484,1,Male,34-44,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2269601,22696,1,Female,43,Saudi,Yes,Full Time Employed,Car Only
2269602,22696,2,Female,39,Saudi,Yes,Full Time Employed,Car Only
2269603,22696,3,Female,26,Saudi,Yes,Full Time Employed,Car Only
2238801,22388,1,Female,44,Saudi,Yes,Full Time Employed,Car Only
2238802,22388,2,Male,19,Saudi,Yes,Student - University: Full-Time (does not work),No License
2238803,22388,3,Male,16,Saudi,Yes,Student - Secondary School,No License
2110901,21109,1,Female,60,Saudi,home work,Unemployed,No License
2110902,21109,2,Male,41,Saudi,Yes,Unemployed,No License
2110903,21109,3,Male,38,Saudi,No reason to get out,Unemployed,Car Only
2110904,21109,4,Female,25,Saudi,No reason to get out,Unemployed,No License
2110905,21109,5,Female,25,Saudi,No reason to get out,Unemployed,No License
2023401,20234,1,Male,38,Saudi,Yes,Full Time Employed,Car Only
2023402,20234,2,Female,34-44,Saudi,nothing,House Person,No License
2023403,20234,3,Male,13,Saudi,Yes,Student - Primary School,No License
2023404,20234,4,Female,12,Saudi,nothing,Student - Elementary School,No License
2023405,20234,5,Male,10,Saudi,nothing,Student - Elementary School,No License
2023406,20234,6,Male,2,Saudi,child,Child not at nursery,No License
2123901,21239,1,Male,45,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2123902,21239,2,Female,25-34,Non-Saudi Non-Arab,nothing,House Person,No License
2123903,21239,3,Female,14,Non-Saudi Non-Arab,Yes,Student - Primary School,No License
2123904,21239,4,Female,11,Non-Saudi Non-Arab,Yes,Student - Elementary School,No License
2123905,21239,5,Female,9,Non-Saudi Non-Arab,Yes,Student - Elementary School,No License
2123906,21239,6,Female,6,Non-Saudi Non-Arab,nothing,Child not at nursery,No License
2398301,23983,1,Male,40,Saudi,Yes,Full Time Employed,Car Only
2398302,23983,2,Female,25-34,Saudi,Yes,Unemployed,No License
2398303,23983,3,Male,20,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2398304,23983,4,Female,3,Saudi,A child who is not in foster care,Child not at nursery,No License
2000301,20003,1,Male,26,Saudi,Yes,Full Time Employed,Car Only
2000302,20003,2,Female,24,Saudi,Yes,Unemployed,No License
2000303,20003,3,Female,40,Non-Saudi Non-Arab,Home Errands,Full Time Employed,No License
2000304,20003,4,Male,2,Saudi,He did not leave the house,Child not at nursery,No License
2014001,20140,1,Male,45-54,Saudi,Yes,Retired,Car Only
2014002,20140,2,Male,18-24,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2014003,20140,3,Female,16-17,Saudi,Yes,Student - Secondary School,No License
2014004,20140,4,Female,16-17,Saudi,Yes,Student - Secondary School,No License
2033001,20330,1,Male,42,Saudi,Yes,Full Time Employed,Car Only
2033002,20330,2,Male,37,Saudi,Yes,Full Time Employed,Car Only
2055901,20559,1,Female,41,Saudi,Yes,Full Time Employed,No License
2055902,20559,2,Female,65,Saudi,Yes,Unemployed,No License
2421501,24215,1,Male,53,Saudi,Yes,Retired,Car Only
2421502,24215,2,Female,47,Saudi,nothing,House Person,No License
2421503,24215,3,Male,22,Saudi,Yes,Student - University: Full-Time (does not work),No License
2421504,24215,4,Male,15,Saudi,Yes,Student - Primary School,No License
2014101,20141,1,Male,34-44,Saudi,Yes,Full Time Employed,Car Only
2014102,20141,2,Female,16-17,Saudi,Yes,Student - Secondary School,No License
2107801,21078,1,Male,34,Saudi,Yes,Full Time Employed,Car Only
2107802,21078,2,Female,32,Saudi,Yes,House Person,No License
2107803,21078,3,Male,8,Saudi,Yes,Student - Elementary School,No License
2107804,21078,4,Male,6,Saudi,Yes,Student - Elementary School,No License
2437901,24379,1,Male,30,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2437902,24379,2,Female,27,Non-Saudi Non-Arab,housewife,Unemployed,No License
2148601,21486,1,Male,40,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2028301,20283,1,Female,57,Saudi,Yes,Retired,Car Only
2028302,20283,2,Female,77,Saudi,Yes,House Person,No License
2028303,20283,3,Male,40,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2033101,20331,1,Male,34-44,Saudi,Yes,Full Time Employed,Car Only
2033102,20331,2,Female,25-34,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2033103,20331,3,Female,65-74,Saudi,seated,Disabled / Sick,No License
2270201,22702,1,Male,39,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2270202,22702,2,Male,34,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2023501,20235,1,Male,33,Saudi,Yes,Full Time Employed,Car Only
2023502,20235,2,Female,29,Saudi,nothing,House Person,No License
2438001,24380,1,Male,29,Saudi,Yes,Full Time Employed,Motorcycle Only
2438002,24380,2,Male,27,Saudi,housewife,Unemployed,No License
2438003,24380,3,Male,3,Saudi,Little kid in kindergarten,Child not at nursery,No License
2005101,20051,1,Male,33,Saudi,Yes,Full Time Employed,Car Only
2005102,20051,2,Male,27,Saudi,unemployed,Unemployed,Car Only
2398501,23985,1,Male,30,Saudi,Yes,Full Time Employed,Car Only
2398502,23985,2,Male,27,Non-Saudi Arab,Yes,Full Time Employed,No License
2398601,23986,1,Male,61,Saudi,No reason to get out,Retired,Car Only
2398602,23986,2,Female,55,Saudi,No reason to get out,House Person,Car Only
2398603,23986,3,Male,37,Saudi,Yes,Full Time Employed,Car Only
2005201,20052,1,Male,31,Saudi,Yes,Part Time Work (<5 hours a day),Car Only
2005202,20052,2,Female,25-34,Saudi,housewife,Unemployed,Car Only
2421601,24216,1,Male,75,Saudi,Yes,Retired,Car Only
2421602,24216,2,Female,65,Saudi,Yes,House Person,No License
2421603,24216,3,Female,30,Saudi,Yes,House Person,No License
2005301,20053,1,Male,35,Saudi,Yes,Full Time Employed,Car Only
2124101,21241,1,Male,36,Saudi,Yes,Full Time Employed,Car Only
2124102,21241,2,Female,31,Saudi,Yes,House Person,No License
2124103,21241,3,Female,2,Saudi,no,Child not at nursery,No License
2398701,23987,1,Male,42,Non-Saudi Arab,Yes,Self-Employed (own business),Car Only
2398702,23987,2,Male,30,Saudi,Yes,Full Time Employed,No License
2023601,20236,1,Male,45,Saudi,Yes,Full Time Employed,Car Only
2023602,20236,2,Female,41,Saudi,Yes,Full Time Employed,No License
2023603,20236,3,Male,17,Saudi,Yes,Student - Secondary School,No License
2023604,20236,4,Female,16,Saudi,Yes,Student - Secondary School,No License
2023605,20236,5,Female,14,Saudi,Yes,Student - Primary School,No License
2023606,20236,6,Female,6,Saudi,Yes,Student - Elementary School,No License
2130301,21303,1,Female,52,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2130302,21303,2,Female,49,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2005401,20054,1,Male,29,Saudi,Yes,Full Time Employed,Car Only
2005402,20054,2,Female,27,Saudi,housewife,Unemployed,Car Only
2182401,21824,1,Male,59,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2124301,21243,1,Male,31,Saudi,Yes,Full Time Employed,Car Only
2124302,21243,2,Female,18-24,Saudi,housewife,House Person,No License
2124303,21243,3,Male,7,Saudi,Yes,Student - Elementary School,No License
2005501,20055,1,Male,55,Saudi,Yes,Full Time Employed,Car Only
2005502,20055,2,Female,45,Saudi,housewife,Unemployed,Car Only
2000401,20004,1,Male,40,Saudi,Yes,Full Time Employed,Car Only
2000402,20004,2,Female,37,Saudi,Yes,Full Time Employed,No License
2000403,20004,3,Female,34,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2000404,20004,4,Female,4,Saudi,You didn't get out of the house,Child not at nursery,No License
2316601,23166,1,Female,54,Saudi,Yes,Full Time Employed,No License
2316602,23166,2,Female,30,Saudi,Yes,Full Time Employed,Car Only
2056901,20569,1,Male,55,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2056902,20569,2,Male,26,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2056903,20569,3,Female,53,Non-Saudi Non-Arab,do not want,House Person,No License
2005601,20056,1,Male,42,Saudi,Yes,Full Time Employed,Car Only
2005602,20056,2,Female,40,Saudi,housewife,Unemployed,No License
2005603,20056,3,Female,27,Saudi,sick,Unemployed,No License
2005701,20057,1,Female,36,Saudi,Yes,Part Time Work (<5 hours a day),Car Only
2005702,20057,2,Male,39,Saudi,sick,Unemployed,Provisional License (Permit/Learner)
2037101,20371,1,Male,40,Saudi,Yes,Full Time Employed,Car Only
2037102,20371,2,Female,33,Saudi,Yes,Unemployed,Car Only
2037103,20371,3,Female,12,Saudi,Yes,Student - Elementary School,No License
2037104,20371,4,Female,8,Saudi,Yes,Student - Elementary School,No License
2037105,20371,5,Female,4,Saudi,Because I'm at home,Child not at nursery,No License
2130401,21304,1,Male,45,Saudi,Yes,Full Time Employed,Car Only
2130402,21304,2,Female,34-44,Saudi,Yes,Full Time Employed,No License
2130403,21304,3,Male,16,Saudi,Yes,Student - Secondary School,No License
2130404,21304,4,Female,12,Saudi,Yes,Student - Elementary School,No License
2130405,21304,5,Female,8,Saudi,Yes,Student - Elementary School,No License
2080101,20801,1,Male,44,Saudi,Yes,Full Time Employed,Car Only
2080102,20801,2,Female,40,Saudi,homework,Unemployed,Car Only
2080103,20801,3,Male,14,Saudi,absence from school,Student - Elementary School,No License
2028401,20284,1,Male,65,Saudi,Yes,Full Time Employed,Car Only
2028402,20284,2,Female,60,Saudi,Yes,House Person,No License
2028403,20284,3,Female,28,Saudi,Yes,Full Time Employed,Car Only
2028404,20284,4,Male,30,Saudi,Yes,Full Time Employed,Car Only
2028405,20284,5,Female,25,Saudi,Yes,Full Time Employed,Car Only
2028601,20286,1,Male,42,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2028602,20286,2,Female,36,Non-Saudi Arab,Yes,House Person,No License
2028603,20286,3,Male,14,Non-Saudi Arab,Yes,Student - Primary School,No License
2028604,20286,4,Female,10,Non-Saudi Arab,Yes,Student - Elementary School,No License
2084901,20849,1,Male,34,Saudi,Yes,Full Time Employed,Car Only
2084902,20849,2,Female,30,Saudi,Yes,Full Time Employed,Car Only
2084903,20849,3,Female,8,Saudi,Yes,Student - Elementary School,No License
2084904,20849,4,Male,2,Saudi,infant,Child not at nursery,No License
2149501,21495,1,Male,38,Non-Saudi Non-Arab,Yes,Self-Employed (own business),No License
2149502,21495,2,Female,25,Non-Saudi Non-Arab,Vacation,Part Time Work (<5 hours a day),No License
2149503,21495,3,Female,<=5,Non-Saudi Non-Arab,no,Child not at nursery,No License
2124501,21245,1,Male,75,Saudi,Yes,House Person,Car Only
2124502,21245,2,Female,70,Saudi,housewife,House Person,No License
2124503,21245,3,Female,35,Saudi,nothing,Unemployed,No License
2000501,20005,1,Male,50,Saudi,Yes,Full Time Employed,Car Only
2000502,20005,2,Female,46,Saudi,Yes,Full Time Employed,Car Only
2000503,20005,3,Female,24,Saudi,Yes,Full Time Employed,Car Only
2000504,20005,4,Female,20,Saudi,Yes,Student - University: Full-Time (does not work),No License
2000505,20005,5,Male,45,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2000506,20005,6,Female,41,Non-Saudi Non-Arab,Work at home,Full Time Employed,Car Only
2034501,20345,1,Male,35,Saudi,Yes,Full Time Employed,Car and Motorcycle
2034502,20345,2,Female,25-34,Saudi,Yes,House Person,Car Only
2034503,20345,3,Male,11,Saudi,Yes,Student - Elementary School,No License
2034504,20345,4,Male,<=5,Saudi,Less than 5 years,Child not at nursery,No License
2316501,23165,1,Male,35,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2316502,23165,2,Female,31,Saudi,Yes,Full Time Employed,No License
2316503,23165,3,Female,4,Non-Saudi Arab,Yes,Child not at nursery,No License
2316504,23165,4,Female,2,Non-Saudi Arab,no,Child not at nursery,No License
2148801,21488,1,Male,48,Saudi,Yes,Full Time Employed,Car Only
2148802,21488,2,Female,40,Saudi,There is no car,House Person,No License
2148803,21488,3,Male,25,Saudi,Yes,Full Time Employed,Car Only
2059001,20590,1,Male,29,Saudi,Yes,Full Time Employed,Car Only
2124601,21246,1,Male,60,Saudi,Yes,House Person,Car Only
2124602,21246,2,Female,50,Saudi,nothing,House Person,No License
2124603,21246,3,Female,22,Saudi,nothing,Unemployed,No License
2124604,21246,4,Female,18,Saudi,nothing,Unemployed,No License
2124605,21246,5,Male,13,Saudi,Yes,Student - Primary School,No License
2305801,23058,1,Male,34,Saudi,Yes,Full Time Employed,Car Only
2305802,23058,2,Female,32,Saudi,Yes,Full Time Employed,Car Only
2305803,23058,3,Male,4,Saudi,no,Child not at nursery,No License
2316401,23164,1,Female,27,Saudi,Yes,House Person,No License
2316402,23164,2,Male,33,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2316403,23164,3,Male,3,Non-Saudi Arab,Yes,Child not at nursery,No License
2316404,23164,4,Male,1,Non-Saudi Arab,Yes,Child at nursery,No License
2028701,20287,1,Male,64,Saudi,Yes,Retired,Car Only
2028702,20287,2,Female,60,Saudi,do not want,Retired,No License
2028703,20287,3,Female,26,Saudi,Yes,Full Time Employed,Car Only
2028704,20287,4,Female,23,Saudi,Yes,Student - University: Full-Time (does not work),No License
2028705,20287,5,Male,30,Saudi,Yes,Full Time Employed,Car Only
2028706,20287,6,Male,21,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2316801,23168,1,Male,35,Saudi,Yes,Full Time Employed,Car Only
2316802,23168,2,Female,27,Saudi,Yes,Full Time Employed,No License
2316803,23168,3,Male,4,Saudi,no,Child not at nursery,No License
2239001,22390,1,Male,43,Saudi,Yes,Full Time Employed,Car Only
2239002,22390,2,Female,37,Saudi,Yes,Unemployed,No License
2239003,22390,3,Male,16,Saudi,Yes,Student - Secondary School,No License
2239004,22390,4,Female,13,Saudi,Yes,Student - Primary School,No License
2059101,20591,1,Male,66,Saudi,Yes,Retired,Car Only
2059102,20591,2,Female,55,Saudi,housewife,Unemployed,No License
2316301,23163,1,Male,26,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2041301,20413,1,Male,37,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2041302,20413,2,Male,42,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2081601,20816,1,Male,34,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2162801,21628,1,Male,26,Saudi,Yes,Full Time Employed,Car Only
2162802,21628,2,Female,23,Saudi,studiying from far,House Person,No License
2198101,21981,1,Male,35,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2000601,20006,1,Male,42,Saudi,Yes,Unemployed,Car Only
2000602,20006,2,Female,34,Saudi,Yes,House Person,Car Only
2000603,20006,3,Female,35,Non-Saudi Non-Arab,to work at home,Full Time Employed,No License
2000604,20006,4,Female,10,Saudi,Yes,Student - Elementary School,No License
2000605,20006,5,Male,4,Saudi,A child under the age of foster care,Child not at nursery,No License
